,name,type,value,date
12296,Lendl,3,0,1985-04-01
14248,Wilander,4,0,1985-04-01
14647,Gomez,5,0,1985-04-01
16646,Jarryd,6,0,1985-04-01
16613,Sundstrom,7,0,1985-04-01
16541,Curren,8,0,1985-04-01
16735,Cash,9,0,1985-04-01
13989,Krickstein,10,0,1985-04-01
11942,Mcenroe,1,0,1985-04-08
12297,Lendl,2,0,1985-04-08
11607,Connors,3,0,1985-04-08
14249,Wilander,4,0,1985-04-08
14648,Gomez,5,0,1985-04-08
16647,Jarryd,6,0,1985-04-08
16614,Sundstrom,7,0,1985-04-08
16542,Curren,8,0,1985-04-08
13990,Krickstein,9,0,1985-04-08
16736,Cash,10,0,1985-04-08
11943,Mcenroe,1,0,1985-04-15
12298,Lendl,2,0,1985-04-15
11608,Connors,3,0,1985-04-15
14250,Wilander,4,0,1985-04-15
14649,Gomez,5,0,1985-04-15
16648,Jarryd,6,0,1985-04-15
16543,Curren,7,0,1985-04-15
16615,Sundstrom,8,0,1985-04-15
13991,Krickstein,9,0,1985-04-15
16737,Cash,10,0,1985-04-15
11944,Mcenroe,1,0,1985-04-22
12299,Lendl,2,0,1985-04-22
11609,Connors,3,0,1985-04-22
14251,Wilander,4,0,1985-04-22
14650,Gomez,5,0,1985-04-22
16649,Jarryd,6,0,1985-04-22
16544,Curren,7,0,1985-04-22
13992,Krickstein,8,0,1985-04-22
16738,Cash,9,0,1985-04-22
16815,Nystrom,10,0,1985-04-22
11945,Mcenroe,1,0,1985-04-29
12300,Lendl,2,0,1985-04-29
11610,Connors,3,0,1985-04-29
14252,Wilander,4,0,1985-04-29
14651,Gomez,5,0,1985-04-29
16650,Jarryd,6,0,1985-04-29
13993,Krickstein,7,0,1985-04-29
16545,Curren,8,0,1985-04-29
